Broad-Type	L_Kinase_G
Others	EGFR
HNSCC	EGFR
Sarcoma	CAMKL
Sarcoma	RAF
Pancreatic	CAMKL
Sarcoma	Trio
Lung	Ret
Ovarian	FGFR
Ovarian	FGFR
Colorectal	FGFR
Colorectal	FGFR
Colorectal	FGFR
Colorectal	FGFR
Colorectal	MAPK
Colorectal	PKC
Ovarian	FGFR
Ovarian	FGFR
Ovarian	FGFR
Ovarian	FGFR
Ovarian	FGFR
Ovarian	FGFR
Lung	STE20
HNSCC	MLCK
HNSCC	MLCK
HNSCC	MLCK
HNSCC	MLCK
HNSCC	MLCK
HNSCC	MLCK
HNSCC	MLCK
HNSCC	MLCK
HNSCC	MLCK
HNSCC	MLCK
HNSCC	MLCK
HNSCC	MLCK
HNSCC	MLCK
HNSCC	MLCK
HNSCC	MLCK
HNSCC	MLCK
HNSCC	MLCK
HNSCC	MLCK
Lung	STE20
Lung	RIPK
Lung	MLCK
Sarcoma	CK1
HNSCC	FGFR
HNSCC	FGFR
HNSCC	FGFR
HNSCC	FGFR
HNSCC	FGFR
HNSCC	FGFR
HNSCC	FGFR
HNSCC	FGFR
HNSCC	FGFR
HNSCC	FGFR
HNSCC	FGFR
HNSCC	FGFR
Thyroid	ABC1
Lung	EGFR
Lung	EGFR
Lung	Bud32
HNSCC	Col4A3BP
Sarcoma	Col4A3BP
Sarcoma	Col4A3BP
Sarcoma	DMPK
Sarcoma	PIKK
Sarcoma	CK1
Sarcoma	Alpha
Ovarian	DMPK
Ovarian	RSK
Liver	Jak
Stomach	JakB
Stomach	Jak
Stomach	JakB
Others	CAMKL
Colorectal	STE20
Colorectal	STE20
Colorectal	Ack
Colorectal	WNK
Colorectal	ABC1
Colorectal	ABC1
Brain	ABC1
HNSCC	PAN3
HNSCC	CDK
Ovarian	FGFR
Lung	FGFR
Lung	RSKb
Lung	STE11
Breast	VRK
Sarcoma	MAPK
Sarcoma	MAPK
Stomach	PKC
Stomach	SRPK
Stomach	SRPK
Lung	PKC
Lung	RAF
Stomach	ABC1
Thyroid	CK1
Breast	Src
Breast	Src
HNSCC	FGFR
HNSCC	FGFR
HNSCC	FGFR
HNSCC	FGFR
HNSCC	FGFR
